The Great Hall,1606,1866
150,1210,1840
153,903,1830
160,623,1840
162,363,1836
167,190,2046
169,90,1846
168,110,2056
166,280,2053
164,476,2050
165,356,2056
163,623,2070
158,750,1933
156,903,1943
154,1060,1936
152,1213,1936
151,1206,1730
155,1060,1730
157,906,1733
159,756,1730
161,620,1726
354,120,1326
356,283,1103
357,416,1110
358,593,1113
350,576,1433
351,543,1593
353,270,1556
355,283,1323
352,406,1456
359,563,1280
399,306,970
900,226,840
909,410,843
908,576,846
910,576,733
911,560,630
912,636,520
913,423,523
903,206,523
902,220,633
901,226,736
904,226,416
905,340,380
906,480,413
907,586,416
550,800,1270
556,713,1120
555,773,966
553,870,743
552,873,970
551,876,1063
199,866,1506
548,1020,966
529,1156,966
528,1156,856
524,1276,736
527,1140,740
526,1160,646
525,1296,643
522,1413,733
523,1403,636
545,1433,853
547,1383,810
546,1383,876
544,1393,966
530,1256,966
531,1156,1053
532,1153,1123
533,1193,1233
538,1320,1283
539,1316,1190
540,1386,1193
541,1436,1193
537,1416,1290
536,1440,1370
534,1440,1520
543,1420,1043
542,1416,1110
305,1610,973
520,1613,736
521,1613,633
950,1856,443
962,1700,346
961,1516,346
518,1813,743
519,1813,660
513,1933,736
302,1606,1500
301,1680,1543
300,1543,1536
304,1613,1196
517,1876,656
516,1930,656
515,2066,653
500,1810,1190
503,2003,1190
505,2066,1270
502,1890,1273
501,1806,1256
306,1883,963
307,2073,963
509,2080,893
514,2060,733
960,1350,440
959,1376,373
958,1423,330
957,1473,280
956,1513,243
955,1610,193
954,1706,246
953,1746,293
952,1780,320
951,1823,366
511,1870,823
512,1793,833
510,1940,850
508,2080,1040
506,2116,1116
507,2036,1113
370,2176,1186
371,2396,1186
372,2603,1186
376,2626,1073
325,2513,1073
374,2390,1076
373,2250,1073
377,2246,1303
378,2393,1310
379,2510,1306
380,2606,1363
700,2376,816
701,2186,813
730,2610,903
723,2660,806
724,2670,740
725,2743,736
726,2740,806
729,2670,893
728,2740,900
744,2633,630
745,2610,530
743,2736,396
741,2900,390
740,2980,393
739,2923,466
738,3023,466
736,2986,543
737,2836,546
735,2980,683
732,2983,800
731,2870,813
746,2740,573
733,2966,863
734,3043,876
702,2756,976
131,3010,1620
130,2750,1466
129,2700,1583
128,2700,1713
123,2863,1706
125,2866,1773
126,2873,1843
133,2606,1716
134,2483,1720
135,2310,1716
127,2140,1716
138,1986,1723
100,1986,1840
101,1986,1950
102,2126,1880
103,2320,1950
104,2603,1953
105,2686,2046
107,2690,1953
132,2703,1840
110,2793,2063
111,2926,2063
112,2873,1950
115,3110,2063
116,3143,1923
118,3143,1836
119,3140,1753
121,3026,1760
599,1493,1220
549,936,886
